Borough,Neighborhood,Cuisine
The Bronx,Bedford Park,"Mexican, Puerto Rican, Dominican, Korean"
The Bronx,Belmont,"Italian, Albanian"
The Bronx,City Island,"Italian, Seafood"
The Bronx,Morris Park,"Italian, Albanian"
The Bronx,Norwood,Filipino
The Bronx,Riverdale,Jewish
The Bronx,South Bronx,"Puerto Rican, Dominican"
The Bronx,Wakefield,"Jamaican, West Indian"
The Bronx,Woodlawn,Irish
Queens,Astoria,"Greek, Italian, Eastern European, Brazilian, Egyptian, Arabic"
Queens,Bellerose,"Indian, Pakistani"
Queens,Flushing,"Chinese, Korean"
Queens,Forest Hills,"Jewish, Russian, Uzbek"
Queens,Kew Garden Hills,"Jewish, Russian, Uzbek"
Queens,Rego Park,"Jewish, Russian, Uzbek"
Queens,Howard Beach ,Italian
Queens,Ozone Park,Italian
Queens,Glendale,"German, Polish"
Queens,Jackson Heights,"Indian, Pakistani, Bangladeshi, Colombian, Ecuadorian, Peruvian, Korean, Filipino, Thai, Tibetan, Bhutanese, Mexican"
Queens,Jamaica,"Bangladeshi, Caribbean, African-American, African, Creole"
Queens,Little Neck,"Arab, Chinese, Italian"
Queens,Richmond Hill,"Indian, Guyanese, Trinidadian, Pakistani, Bangladeshi"
Queens,South Ozone Park,"Indian, Guyanese, Trinidadian, Pakistani, Bangladeshi"
Queens,The Rockaways,"Irish, Jewish"
Queens,Woodhaven,"Irish, Dominican, Mexican, Guyanese"
Queens,Woodside,"Mexican, Puerto Rican, Dominican, Korean"
Queens,Sunnyside,"Mexican, Puerto Rican, Dominican, Korean"
Brooklyn,Bay Ridge,"Irish, Italian, Greek, Turkish, Lebanese, Palestinian, Yemeni, Arabic"
Brooklyn,Bedford-Stuyvesant,"African-American, Jamaican, Trinidadian, Puerto Rican, West Indian"
Brooklyn,Bensonhurst,"Italian, Chinese, Turkish, Russian, Mexican, Uzbek"
Brooklyn,Borough Park,"Jewish, Italian, Mexican, Chinese"
Brooklyn,Brighton Beach,"Russian, Georgian, Turkish, Pakistani, Ukrainian"
Brooklyn,Bushwick,"Puerto Rican, Mexican, Dominican, Ecuadorian"
Brooklyn,Canarsie,"Jamaican, West Indian, African-American"
Brooklyn,Carroll Gardens,Italian
Brooklyn,Crown Heights,"Jamaican, West Indian, Jewish"
Brooklyn,East New York,"African-American, Dominican, Puerto Rican"
Brooklyn,Flatbush,"Jamaican, Haitian, Creole"
Brooklyn,Greenpoint,Polish and Ukrainian
Brooklyn,Kensington,"Bengali, Pakistani, Mexican, Uzbek, Polish"
Brooklyn,Midwood,"Jewish, Italian, Russian, Pakistani"
Brooklyn,Park Slope,"Italian, Irish, French, Puerto Rican"
Brooklyn,Red Hook,"Puerto Rican, African-American, Italian"
Brooklyn,Sheepspread Bay,"Seafood, Chinese, Russian, Italian"
Brooklyn,Sunset Park,"Puerto Rican, Chinese, Arab, Mexican, Italian"
Brooklyn,Williamsburg,"Italian, Jewish, Dominican, Puerto Rican"
Staten Island,Port Richmond,"Mexican, Indian, Italian"
Staten Island,Rossville,"Italian, Russian, Arab, Polish"
Staten Island,South Beach,"Italian, Russian, Arab, Polish"
Staten Island,Great Kills,"Italian, Russian, Arab, Polish"
Staten Island,Tompkinsville,"Italian, Sri Lankan, Pakistani, Indian"
Manhattan,Chinatown,"Chinese, Vietnamese"
Manhattan,East Harlem,"Puerto Rican, Mexican, Dominican, Chinese-Cuban,ÊItalian"
Manhattan,East Village,"Japanese, Korean, Indian, Ukrainian"
Manhattan,Greenwich Village,"Italian, Middle Eastern"
Manhattan,Harlem,"Italian, African-American, Latin American, West Indian, West African"
Manhattan,Koreatown,Korean
Manhattan,Nolita,Australian
Manhattan,Little Italy,Italian
Manhattan,Lower East Side,"Puerto Rican, Jewish, Italian, Latin American"
Manhattan,Murray Hill,"Indian, Pakistani, Bangladeshi"
Manhattan,Upper West Side,"Jewish, Chinese-Latino"
Manhattan,Washington Heights,"Dominican, Puerto Rican, Mexican, Jewish"
Manhattan,Upper East Side,"German, Czech, Hungarian"
